"id";"cesky";"anglicky";"nemecky";"kategorie"
3746;chuť;a taste;der Geschmack;Podstatné jméno
3747;luxusně;luxurious;luxuriös;Přídavné jméno
3748;luxus, luxusu, luxusem, Luxus;luxury;der Luxus;Podstatné jméno
3749;proveditelný, možným, proveditelně, splnitelný, splnitelná, proveditelné, realizovatelný;feasible;realisierbar;Přídavné jméno
3750;dělat, děláme;to do [do, done];machen [gemacht (hat/ist), machte];Sloveso
3751;silou, Děláte, vládu;by force;durch Gewalt;Fráze
3752;vlivní, mocně, vlivný, mohutně, silovým, vlivná, mocné, vlivných;influential;einflussreich;Přídavné jméno
3753;Madridu, Madrid;Madrid;Madrid;Podstatné jméno
3754;rád;glad;gern;Přídavné jméno
3755;časopis, časopise, Časopis, magazín;a magazine;die Zeitschrift;Podstatné jméno
3756;bolest žaludku, bolesti žaludku, bolest na žaludku, bolesti na žaludku, žaludeční bolest, žaludeční bolesti;stomach ache;die Bauchschmerzen;Podstatné jméno
3757;libový, libovou, hubená, hubený, hubeného, nízkotučný, libové;lean;mager;Přídavné jméno
3758;magnet, magnetu;a magnet;der Magnet;Podstatné jméno
3759;máš rád;do you like;magst du;Zájmeno
3760;seká, stříhat, kosí, sekají, kosit, posekat, sekat, sekám;to cut [cut, cut];schneiden [geschnitten, schnitt, wird geschnitten];Sloveso
3761;Milán, Miláně, Milána;Milan;Milan;Podstatné jméno
3762;hlasová schránka;a ballot box;die Stimmfach;Podstatné jméno
3763;Kukuřici, Kukuřice;corn;der Mais;Podstatné jméno
3764;se;"";"";Spojka
3765;krát;shortly;kurz;Příslovce
3766;malujeme, malují;to paint [painted, painted];malen [gemalt, malte];Sloveso
3767;malebné, malebně, půvabná;picturesque;malerisch;Přídavné jméno
3768;maminka;a mother;die Mutter;Podstatné jméno
3769;manažer, manažera;a manager;der Manager;Podstatné jméno
3770;manažerem, manažer, Manažer, manažera;a manager;der Manager;Podstatné jméno
3771;některá, některé;some;einige;Přídavné jméno
3772;někdy;sometimes;manchmal;Příslovce
3773;závadě, defekt, chybách, chybě, závadu, závada, nedostat, nedostatek, chudoba;a defect;die Störung;Podstatné jméno
3774;nedostatečný, nevyhovující, nekvalitní, nedostatečné, chybný, vadný, nedostačující, nedostatečnou;insufficient;unzulänglich;Přídavné jméno
3775;manipulovaly, zmanipulovat;to manipulate [manipulated, manipulated];manipulieren [manipuliert, manipulierte, wird manipuliert];Sloveso
3776;muž, mužem, teda, muži, manželovi, mužský;"";"Podstatné jméno|a man|der Mann ;""
Sloveso|to be|sein 
Spojka|therefore|denn
Podstatné jméno|men|die Männer
Podstatné jméno|husband's|des Mannes
Přídavné jméno|masculine|männlich"
3777;muž;a man;der Mann;Podstatné jméno
3778;mužů, muže, muži, mužští;a man;der Mann;Podstatné jméno
3779;mužští, mužských, mužský;masculine;maskulin;Přídavné jméno
3780;tým;a team;der Team;Podstatné jméno
3781;kabátu, kabát, kabátě;a coat;der Mantel;Podstatné jméno
3782;kabát;a coat;der Mantel;Podstatné jméno
3783;kabáty;coats;die Mäntel;Podstatné jméno
3784;manuální, ruční;manual;manuelle;Přídavné jméno
3785;pohádka, pohádku, pohádkou, pohádce, pohádek, pohádkách;a fairy tale;die Märchen;Podstatné jméno
3786;značku, značky, značka, Značka, značkám;a brand;die Marke;Podstatné jméno
3787;marketingu;marketing;der Marketing;Podstatné jméno
3788;označ, označují, značí, označil;to designate;bezeichnen  [bezeichnet, bezeichnete];Sloveso
3789;značky, ryskou, označení, Označení, značením, značkám;a marking;die Bezeichnung;Podstatné jméno
3790;trh, tržnici, trhu, tržišti, market;a market;der Markt;Podstatné jméno
3791;trhu, trh;a market;der Markt;Podstatné jméno
3792;tržišti, tržiště;a market;das Markt;Podstatné jméno
3793;stánek, stánku na trhu;a stall;der Stand;Podstatné jméno
3794;marmeládu, marmeládou, marmeláda;jam;die Marmelade;Podstatné jméno
3795;Maroku, Maroka;Morocco;Marokko;Podstatné jméno
3796;stroj;a machine;die Maschine;Podstatné jméno
3797;krocích, zásahem, opatření, akcí, zásahu, akcích, opatřeními;a step;ein Schritt;Podstatné jméno
3798;masáž, Masáž;a massage;die Massage;Podstatné jméno
3799;masáž, Masáž;a massage;die Massage;Podstatné jméno
3800;hmotnosti, tělesa;mass;die Masse;Podstatné jméno
3801;masírovat;to massage [massaged, massaged];massieren [gemassiert (ist), massierte];Sloveso
3802;surovina, materiál, látkou, materiálu, surovinu;a raw material;die Rohstoff;Podstatné jméno
3803;hmoty, hmota;matter;die Masse;Podstatné jméno
3804;matematiku, matematice, matematika;mathematics;die Mathematik;Podstatné jméno
3805;matematik, matematici;a mathematician;der Mathematiker;Podstatné jméno
3806;matrace, matraci;a mattress;die Matratze;Podstatné jméno
3807;podložka, podložku, podložce;a pad;die Unterlage;Podstatné jméno
3808;zeď;a wall;die Wand;Podstatné jméno
3809;myš;a mouse;die Maus;Podstatné jméno
3810;mýtné, poplatek, mýto;toll;die Maut;Podstatné jméno
3811;Maxi, Max;Maxi, Max;Maxi, Max;Podstatné jméno
3812;maximálně;maximally;maximal;Příslovce
3813;maximum;the maximum;das Maximum;Podstatné jméno
3814;mechanika, Mechanik, mechanikovi;mechanics;die Mechanik;Podstatné jméno
3815;mechanický, mechanicky, mechanickou;mechanical;mechanisch;Přídavné jméno
3816;médií, Média;the media;die Medien;Podstatné jméno
3817;léky;medicines;die Medikamente;Podstatné jméno
3818;léky;medicines;die Medikamente;Podstatné jméno
3819;meditací, meditaci, meditace;meditation;die Meditation;Podstatné jméno
3820;medituje, meditoval, meditují, meditujeme, meditovat, medituj;to meditate [meditated, meditated];meditieren [gemeditiert];Sloveso
3821;médium;a medium;das Medium;Podstatné jméno
3822;medicína;medicine;die Medizin;Podstatné jméno
3823;lékařský, zdravotnická, zdravotnické, lékařské;medical;ärztlich;Přídavné jméno
3824;moře, Moře, moři;the sea;das Meer;Podstatné jméno
3825;moři, moře, Moře, mořem;the sea;das Meer;Podstatné jméno
3826;mořské plody;seafood;die Meeresfrüchte;Podstatné jméno
3827;hladina moře, mořská hladina, úroveň moře;sea level;die Meeresoberfläche;Podstatné jméno
3828;křen;horseradish;der Kren;Podstatné jméno
3829;morčeti, morče, morčata;a guinea pig;die Meerschweinchen;Podstatné jméno
3830;schůzka, schůzce, schůzku;a date;das Treffen;Podstatné jméno
3831;megaúžasný;amazing;megaartig;Přídavné jméno
3832;fakt zajímavý, velmi zajímavý, mega zajímavý, hodně zajímavý, megazajímavý, extrémně zajímavý, nesmírně zajímavý, megazajímavá;interesting;interessant;Přídavné jméno
3833;moukou, mouka, mouky, mouku;flour;das Mehl;Podstatné jméno
3834;více;more;mehr;Přídavné jméno
3835;několikrát;several times;mehrmals;Číslovka
3836;vratná láhev, opakovaně použitelná láhev;a reusable bottle;die Mehrwegflasche;Podstatné jméno
3837;milník, mezník;a milestone;der Meilenstein;Podstatné jméno
3838;svůj, můj, mám, moje, svou, moji;my/our;mein/unsere;Zájmeno
3839;svých, mými, myslelo, my, svými, myslete, můj, domnívala, míní, znamenat, domnívá, svůj, mou, domníváme;"";"Zájmeno|my|wir ;""
Sloveso|to think|denken
Přídavné jméno|my own|mein
Sloveso|to mean|bedeuten
Sloveso|to think|meint
Podstatné jméno|my|mein
Zájmeno|my|meine
Sloveso|thought|dachte
Sloveso|think|denkt
Podstatné jméno|my own|mein"
3840;podle mého názoru;in my opinion;meiner Meinung;Fráze
3841;většinou, nejčastěji, převážně, obvykle, zpravidla, nejvíce;mostly;meistens;Příslovce
3842;nejnavštěvovaný, nejnavštěvovanější, nejčastěji navštěvovaný, nejvíce navštěvovaný, nejfrekventovanější;most visited;am häufigsten besucht;Přídavné jméno
3843;většinu;the majority;die Mehrheit;Podstatné jméno
3844;většinou;mostly;meistens;Příslovce
3845;nahlásilo, ozvěte, nahlásit, oznámila, nahlášen, hláskuji, ohlásí, udává, reklamuješ, hlásit, nahlásím, oznamují, ohlásili, ohlásil;to report;melden [gemeldet (ist), meldete];Sloveso
3846;dojíme, dojení, dojit, dojím, dojí, podojit;to milk;melken [gemelkt (ist), melkte];Sloveso
3847;melodii, melodie, melodií;a melody;die Melodie;Podstatné jméno
3848;menzy, menzu, menze;a canteen;die Mensa;Podstatné jméno
3849;člověče, člověk, teda;a human;ein Mensch;Podstatné jméno
3850;lidské právo, právo člověka, základní právo;a human right;das Menschenrecht;Podstatné jméno
3851;menu, jídelní lístek, nabídka, jídelníček;a menu;die Speisekarte;Podstatné jméno
3852;zapamatuješ, zapamatovat si, zapamatoval, zapamatovat, zapamatuj, pamatujeme, pamatuje, zapamatujte, pamatuj;to remember;sich erinnern [sich erinnert (hat), erinnerte];Sloveso
3853;odměrný kelímek, měrka, odměrný pohár, odměrka, odměrná nádoba, odměrku;a measuring cup;der Messbecher;Podstatné jméno
3854;změřit, měřit, měřím, měříme, měříš, měřil, změř, vážím, odměřit;to measure [measured, measured];messen [gemessen (ist), maß];Sloveso
3855;nože, nůž, nožem;a knife;das Messer;Podstatné jméno
3856;nůž, nože;a knife;der Messer;Podstatné jméno
3857;kov, metal;metal;der Metall;Podstatné jméno
3858;kovu, kov, metal;metal;der Metall;Podstatné jméno
3859;detektor kovů, kovový detektor, vyhledávač kovů;a metal detector;der Metalldetektor;Podstatné jméno
3860;meteorický déšť, roj meteoritů, meteoritový déšť;a meteor shower;der Meteorschauer;Podstatné jméno
3861;metry, metrů, metrech;a meter;der Meter;Podstatné jméno
3862;metodami, technikou, technika, metodu, techniku, způsobům, metodě, metod, metoda, techniky, metodou, způsobu;a method/technique;die Methode/die Technik;Podstatné jméno
3863;řezníkovi, řezníka, řezníků, řezníci, masník, řezník, řezníkem;a butcher;der Metzger;Podstatné jméno
3864;řeznictví;a butcher's shop;das Metzgerei;Podstatné jméno
3865;mexicky;Mexico;das Mexiko;Podstatné jméno
3866;Miu, Mia, Mio;"";Mia, Mia, Mio;Fráze
3867;nájemném, nájemného, nájem, nájemné, nájmy;rent;die Miete;Podstatné jméno
3868;nájemníkem, nájemníků, nájemníci, nájemník, nájemcem;a tenant;der Mieter;Podstatné jméno
3869;nájemné, cena nájmu;rent;die Miete;Podstatné jméno
3870;nájemní smlouva, nájemní smlouvu, smlouva;a lease agreement;die Mietvertrag;Podstatné jméno
3871;nájemní auto, nájemního auta;a rental car;das Mietwagen;Podstatné jméno
3872;nájemním bytě, nájemního bytu, nájemní byt;a rental apartment;die Mietwohnung;Podstatné jméno
3873;Migrant, migrantů, migrant, migranty;a migrant;der Migrant;Podstatné jméno
3874;mikrofonem, Mikrofon, mikrofonu, mikrofon;a microphone;das Mikrofon;Podstatné jméno
3875;mikroskop, mikroskopu;a microscope;das Mikroskop;Podstatné jméno
3876;mikrovlnnou troubu, mikrovlnné troubě, mikrovlnná trouba, Mikrovlnná trouba;a microwave oven;die Mikrowelle;Podstatné jméno
3877;mikrovlnná trouba, mikrovlnnou troubu, mikrovlnné troubě, troubě;a microwave oven;die Mikrowelle;Podstatné jméno
3878;Mléčná dráha;the Milky Way;die Milchstraße;Podstatné jméno
3879;jemnými, mírná, teplejších, mírně, jemná, mírnější, jemnému;fine;fein;Přídavné jméno
3880;miliarda;a billion;eine Milliarde;Číslovka
3881;mimika, výraz, obličejový výraz;facial expression;die Mimik;Podstatné jméno
3882;menšinu, Menšina, menšina, menšiny;a minority;die Minderheit;Podstatné jméno
3883;alespoň;at least;zumindest;Příslovce
3884;datum minimální trvanlivosti, doba minimální trvanlivosti, minimální trvanlivost;best before date;das Mindesthaltbarkeitsdatum;Podstatné jméno
3885;minimální mzda, nejnižší mzda, minimální plat;minimum wage;die Mindestlohn;Podstatné jméno
3886;minerál, nerost;a mineral;der Mineral;Podstatné jméno
3887;minerální vodu, Minerální voda;mineral water;die Mineralwasser;Podstatné jméno
3888;minimum;a minimum;das Minimum;Podstatné jméno
3889;Ministři, Ministr, ministr, ministrů, ministrem;a minister;der Minister;Podstatné jméno
3890;premiérem, Premiér, premiér, ministerský;a prime minister;der Premier;Podstatné jméno
3891;minuta, minutu, chvíle, minutou;a minute;die Minute;Podstatné jméno
3892;smíchat, míchají, míchat, smíchám, nemíchej, promíchej, Mícháme, promíchejte, promíchat;to mix [mixed, mixed];mischen [gemischt, mischte];Sloveso
3893;směs, Směs;a mixture;die Mischung;Podstatné jméno
3894;nezdar, neúspěchu, neúspěch, nezdaru, neúspěchům, nezdarům;a failure;der Misserfolg;Podstatné jméno
3895;mise, poslání, úkol;a mission;das Auftrag;Podstatné jméno
3896;misionář, misionáře, misionářů;a missionary;der Missionar;Podstatné jméno
3897;nepochopil, nepochopila, Nepochopili, Nepochopil, nepochopen;to understand [understood, understood];verstehen [verstanden, verstand];Sloveso
3898;nedorozumění;a misunderstanding;das Missverständnis;Podstatné jméno
3899;nepochopíme, pochopit, nepochopte;to understand [understood, understood];verstehen [verstanden (ist), verstand];Sloveso
3900;vidle, hnůjové vidle, vidle na hnůj;a manure fork;die Mistgabel;Podstatné jméno
3901;s, se;'s;mit;Předložka
3902;kartou;a card;die Karte;Podstatné jméno
3903;zaslechl, dozvíš, dozví, dozvíte, dozvěděla;to hear;hören [gehört, hörte];Sloveso
3904;spolubydlící;a roommate;der Mitbewohner;Podstatné jméno
3905;spolubydlící, spolubydlícímu, spolubydlících, spolubydlícím;a roommate;der Mitbewohner;Podstatné jméno
3906;přivedl, přinést, donesl, přinesete, přivezl, přinášel, přivezeš;to bring [brought, brought];bringen [gebracht, brachte];Sloveso
3907;společně;together;zusammen;Spojka
3908;jezdit s někým, jet s někým, pojedu;to ride/go with someone;fahren mit jemandem;Sloveso
3909;spolucestující, spolujezdce;a fellow traveler;der Mitreisende;Podstatné jméno
3910;fandit, držet palce, prožívat, fandit někomu;to cheer for;anfeuern;Sloveso
3911;soucitné, soucitného, empatický, chápavě, empatická, soucitná, empatické, empaticky;empathetic;mitfühlend;Přídavné jméno
3912;soucitu;compassion;Mitgefühl;Podstatné jméno
3913;členství;membership;die Mitgliedschaft;Podstatné jméno
3914;vypomáhat, pomoci, vypomůže, vypomoci, pomáhalo;to help;helfen [geholfen];Sloveso
3915;pomocí, s pomocí, za pomoci, s využitím;with;mit;Předložka
3916;pomáhá;to help [helped, helped];hilft [geholfen];Sloveso
3917;přijít;to come [came, come];kommen [gekommen, kam, wird kommen];Sloveso
3918;půjdeš se mnou, půjdeš, jdeš se mnou;to go;gehen  [gegangen (ist)];Sloveso
3919;soucit, soucitu;empathy;das Mitgefühl;Podstatné jméno
3920;účastním, účastnili, zapoj, přidal, přidali, podílet;to participate;beteiligen [beteiligt, beteiligte];Sloveso
3921;sebrat, odnáší, vzít, sveze, balíte, sebou, odveze, neber, nesol, zavézt, svézt, ponese;"";"Sloveso|to take [took, taken]|nehmen [genommen, nahm, wird genommen] ;""


Sloveso|to take away |wegbringen [weggebracht, brachte, wird weggebracht]


Sloveso|to take |nehmen [genommen, nahm, wird genommen]


Sloveso|to take |mitnehmen [mitgenommen, nahm mit, wird mitgenommen]


Sloveso|to carry |tragen [getragen, trug, wird getragen]


Sloveso|to take away |abfahren [abgefahren (ist), fuhr ab] 


Sloveso|don't take |nicht nehmen [nicht genommen, nahm nicht, wird nicht genommen]


Sloveso|to take |mitnehmen [mitgenommen, nahm mit, wird mitgenommen]


Sloveso|to carry |tragen [getragen, trug, wird getragen]"
3922;Spolužáci, spolužák, spolužáci, spolužákem;a classmate;ein Mitschüler;Podstatné jméno
3923;zazpívat si, zazpívat;to sing [sang, sung];singen [gesungen (ist), sang];Sloveso
3924;spoluhráči, spoluhráče, spoluhráč, spoluhráčů;a teammate;ein Mitspieler;Podstatné jméno
3925;Poledne;noon;das Mittagessen;Podstatné jméno
3926;poledne;noon;das Mittagessen;Podstatné jméno
3927;obědovému, obědu, obědy, obědě, obědovým, obědového;lunch;das Mittagessen;Podstatné jméno
3928;obědovému, obědové menu, polední nabídka, polední menu, obědové, obědového;a lunch menu;das Mittagessen;Podstatné jméno
3929;přestávka;a break;die Pause;Podstatné jméno
